id,word,definition,audio
1,"a, à","(particle) 1. introductory exclamation like English 'Oh' or 'Well; 2. mikiya 'to say ""ah"". 3. grammatical function marking attribution; 4. affix added to transitive- verbs to indicate ability to perform a certain action. ""asulat"" to be able to write, ""akwa"" to be able to get, ""apangan"" to be able to eat; 5. lig. used between a noun and a descriptive word ending with a consonant, alternating with ""ng"" as in ""manayun a pibaslan"", 'fine wear"".",
2,abàgat,n. southern breeze,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABAGAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBR0FULm1wMyIsImlhdCI6MTc1NDgwMzA2OSwiZXhwIjoyMDcwMTYzMDY5fQ.Hb24ftCfv94_by8wIiRPZldxwMtHT7xwCa0n1zdGHk0
3,àbak,"or kayabakan v. mayabak, mayayabak, meyabak; to do something until morning; become morning. n. morning.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBQy5tcDMiLCJpYXQiOjE3NTQ4MDMwNTEsImV4cCI6MjA3MDE2MzA1MX0.7RPLWxAOngjSZWuSMVcBMrZyJylyb2D3fTreOg9ja_k
4,abakâ,"n. the abaca plant, fiber, or cloth.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABACA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBQ0EubXAzIiwiaWF0IjoxNzU0ODAzMDg3LCJleHAiOjIwNzAxNjMwODd9.eMbIwSSKft292ohs-jLZWwI63rF_pd3iiF-84E-1HYc
5,abakân,"n. ealiest meal of the day, a brunch which sometimes considered as an early lunch by field workers like farmers; cf alumusal.",
6,abal,"v. 1 bother, worry. [usually distributive: mangabalà, as in: é ka mangabala. 'Don't worry']. b. 2 weave",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABAL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBTC5tcDMiLCJpYXQiOjE3NTQ4MDMxMTAsImV4cCI6MjA3MDE2MzExMH0.Z6jz_jfm1s4d7l_GZKRIj26tX-ryKdopIUnvUoFsNjw
7,abála,n. feast,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABALA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBTEEubXAzIiwiaWF0IjoxNzU0ODAzMTI1LCJleHAiOjIwNzAxNjMxMjV9.IPN1PomvKXKOymU6m97ahJ3F79Mnx9RzMsTvpaXK7UE
8,abang,v. to wait,
9,abblas,n. vengeance,
10,abbua,ab-bwa n. liquid the goes up when cooking rice,
11,abbual,n. when a big tree falls down,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AB-BUAL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUItQlVBTC5tcDMiLCJpYXQiOjE3NTQ4MDI5MzIsImV4cCI6MTkxMjQ4MjkzMn0.eaDjlnUcwuTSq3gUW1PTWYfHvS_cnZIqcIzrqupWATU
12,abbuang,"v. to drive away birds, or animals",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AB-BUANG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUItQlVBTkcubXAzIiwiaWF0IjoxNzU0ODAzMTQ5LCJleHAiOjIwNzAxNjMxNDl9.DR-nRPmHUv9uZJqI-wcXa91xEK1b3HI6m9P_gbyCczA
13,ábe,"v. makiyabe 'accompany'; myabeyabe 'live together, stay together' n. friend, companion [used as a term of address kayabe 'companion'; pàmakiyàbe 'the skill of making and keeping friends'. àbay 1. n. companion; 2 n. maid of honor; cf. damas",
14,abiás,abyàs n. uncooked rice.,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABIAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJJQVMubXAzIiwiaWF0IjoxNzU0ODAzMTczLCJleHAiOjIwNzAxNjMxNzN9.66VsLymsZZNi7myOrjDV9EIyM3YdtlovzEtloE4e-BU
15,abísu,[Sp] v. -an: 'to warn someone'; ma-'to be warned'; payabísu 'have someone warned'; i-'take something as a warning'; n. warning; subpoena; mànabísu 'one who warns'.,
16,ábit,v. to pull,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABIT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJJVC5tcDMiLCJpYXQiOjE3NTQ4MDMxODQsImV4cCI6MjA3MDE2MzE4NH0.lkLDiNpYAbTlamT-jg_axSALHWgfD5xNcehEGxXDVLI
17,ablad,n. horrific fear,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABLAD.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJMQUQubXAzIiwiaWF0IjoxNzU0ODAzMjg0LCJleHAiOjIwNzAxNjMyODR9.iM4r1Opd1v3rHAXHV9NrQt3jOznzRc47sYmN-EhN_LA
18,ablang,n. opening of the earth,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABANG_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJBTkdfMS5tcDMiLCJpYXQiOjE3NTQ4MDMzMDQsImV4cCI6MjA3MDE2MzMwNH0.7kusjxuzeRpAV5xxhlVxGjSstvSUGUsbQkwZDmiLLek
19,ablas,"v. -an 'to return something'; imitate. maki- -an 'to answer back, retort', mablas, minablase; pakiyablas, payablasan, inablas, ayablas, makayablas, meyablas, pamanablas, pekayablas; n. what one gives in return for something else. 'echo'; revenge. kakablas 'echo'.",
20,ablî,n. cash collection,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABLI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJMSS5tcDMiLCJpYXQiOjE3NTQ4MDMzMTUsImV4cCI6MjA3MDE2MzMxNX0.nXhgIkJiJwcr_eRHfiBtv8Eav8szKz5x2l8hvFJGxeM
21,abluk,"1 v. summon, invite, signal. man-, -an, pa-, pan-. d. may- 'be invited', to persuade. 2 n. pàmanabluk 'manner of inviting'; syn. agkat, agyag",
22,abo,var. abu n. left-over food. abu-abû n. left-over food from an occasion. àbao n. surplus,
23,abónu,v. man- 'to fertilize'; pa- 'have something fertilized'; maki-. paki- 'share fertilizer'.,
24,abpa,n. when a bird spreads its wings,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABPA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJQQS5tcDMiLCJpYXQiOjE3NTQ4MDMzOTYsImV4cCI6MjA3MDE2MzM5Nn0.QlARhBr21s8cFYnEHLemp1mS3hvB6QyLYOenrCs97hY
25,Abríl,[Sp] n. the month of April.,
26,absang,"var. apsang v. in-an, mi-an 'be swarmed on by tiny insects called absang'; n. gnat, fruitfly (?) -a very small insect.",
27,-absî,v. magpaka- 'eat ones fill'. d. satisfied (with respect to hunger).,
28,absik,n. black spots on sweet potatoes,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABSIC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJTSUMubXAzIiwiaWF0IjoxNzU0ODAzNDA1LCJleHAiOjIwNzAxNjM0MDV9.qgjRFMqwzSWKR6jABC0FwJB4Stf6MKprIxm8k2yWGAM
29,abú,"1. v. man- 'become ash'; mi-an 'get ashes on self'; -an [abwan] 'scour (using ash)'; 2 n. ashes, also used as a tempering material in the production of earthenware; see margaha",
30,abugàdu,[Sp] n. lawyer; v. pag-an 'submit something to a lawyer'. mag-abugadu.,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABU.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJVLm1wMyIsImlhdCI6MTc1NDgwMzQ1NiwiZXhwIjoyMDcwMTYzNDU2fQ.ex-S58nv7wYLvbUSZU47plZX2JcSEAgm4t0zCdYCmZs
31,abukadu,"(Nah Sp) n. alligator pear or avocado pear (Persea americana) is a medium-sized, evergreen tree in the laurel family (Lauraceae)",
32,abúlúd,"n. crease, center line of double blade sword. v. -an [abuluran] 'to de-rib (to remove the center rib from a leave)', 'to pur a crease in'.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABULUD.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJVTFVELm1wMyIsImlhdCI6MTc1NDgwMzQ3NSwiZXhwIjoyMDcwMTYzNDc1fQ.skPhV92SwoP9Y3upxZfZK7_aR4TGzmAo61vDTq4HioA
33,abusàdu,"[Sp] v. man-, pa- 'abuse, take unfair advantage'. d. ma-. n. one who takes unfair advantage; ka- -an, kapana-.",
34,àbut,"1 v. 'reach', 'hand something to someone'. 'understand': éku pa ayabutan. 'I cant frasp the meaning yet'. 2 adj. reachable, easy to understand.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ABUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUJVVC5tcDMiLCJpYXQiOjE3NTQ4MDM0ODMsImV4cCI6MjA3MDE2MzQ4M30._31aqCPCXyFZDD9MB-O_WNscOivyS3PzOT71x58RrtM
35,abyàs,abiàs n. milled rice. magâabyas 'rice dealer'; cf. pale,
36,-adi,v. mang- 'pray' (intransitive). pàng- 'pray for something'; maki- 'pray together'; pakipang- 'pray together for...'.,
